thread index,duration in microseconds,visited nodes
0,92290,58821
0,44666,57202
0,63,185
0,57,120
0,45932,60361
0,23407,34248
0,11428,17364
0,38,92
0,14488,22895
0,0,1
0,6,4
0,41366,44056
0,12372,19652
0,212,556
0,197,640
0,8306,12479
0,16756,24978
0,106,294
0,8270,13879
0,56,159
0,9249,15248
0,12019,19380
0,2586,4769
0,185,862
0,37,141
0,55,164
0,111,470
0,18028,26279
0,5336,9383
0,51559,64087
0,23268,32103
0,68,159
0,805,3122
0,71993,92588
0,8114,13458
0,13123,20605
0,35714,45581
0,15004,21580
0,316,1190
0,33,98
0,461,2061
0,802,3474
0,10243,16412
0,34429,37841
0,36600,46504
0,25,54
0,19560,29204
0,13167,20884
0,743,3598
0,6,17
0,167,824
0,32107,43826
0,72,177
0,715,2674
0,7954,12474
0,40095,54701
0,5593,9968
0,82,265
0,107,367
0,9975,18819
0,55813,74685
0,7706,13598
0,4832,8404
0,18,46
0,20,58
0,40,121
0,356,1800
0,31960,46528
0,26776,39788
0,12,21
0,179,478
0,93,306
0,19256,30196
0,17560,27853
0,49054,73439
0,1,1
0,26551,39239
0,32611,47611
0,22,36
0,285,816
0,1058,4965
0,164,898
0,44,148
0,59,199
0,25,87
0,30,89
0,67342,92678
0,7494,12052
0,7834,13250
0,549,2402
0,439,2390
0,15947,25432
0,227,748
0,19,56
0,572,2542
0,33074,49540
0,35499,51546
0,64,170
0,32159,50523
0,4161,7536
0,10818,18875
0,63,141
0,91204,109610
0,20514,29148
0,63,150
0,18905,30835
0,134,334
0,96,285
0,25,74
0,5782,9975
0,41015,56998
0,573,2330
0,65389,72134
0,16,21
0,305,902
0,18618,26661
0,57182,73527
0,28809,45336
0,87,215
0,894,4480
0,47,149
0,50,177
0,16276,26486
0,307,1057
0,7069,11880
0,271,952
0,16011,26016
0,13651,21855
0,8225,13461
0,39071,55630
0,26728,37726
0,1445,5608
0,26,73
0,175,708
0,11063,17270
0,199,582
0,203,798
0,36,101
0,40580,57953
0,42,77
0,100,267
0,0,1
0,11201,17689
0,15509,22812
0,40,88
0,29946,43781
0,5046,9017
0,16072,27692
0,26,58
0,3988,7864
0,19,49
0,37070,55288
0,102,239
0,11512,18222
0,15171,23089
0,86546,103768
0,592,1641
0,83729,93993
0,7411,12624
0,6851,11091
0,17520,26406
0,383,1291
0,8642,15682
0,20664,33300
0,1272,5772
0,11554,18799
0,33,98
0,34,89
0,35655,52799
0,25923,37985
0,207,513
0,66,227
0,34182,43303
0,21004,32691
0,1962,3576
0,12559,20152
0,3732,7108
0,902,3935
0,0,1
0,13896,22534
0,11208,17989
0,21,45
0,108,328
0,38347,54574
0,11731,19083
0,10,23
0,4952,9112
0,33647,43969
0,87857,108101
0,991,3803
0,11,27
0,5169,10040
0,13,28
0,45889,56198
0,54,112
0,33717,42764
0,9558,15352
0,32332,44339
0,77,138
0,69,84
0,35,93
0,14,32
0,238,732
0,16,39
0,92756,103453
0,9011,13871
0,40,99
0,13501,22021
0,37,108
0,13962,22747
0,32,83
0,27,43
0,58,142
0,290,1276
0,37111,49548
0,26788,41858
0,33426,46585
0,918,2682
0,32218,43641
0,15780,25220
0,29,77
0,479,1077
0,58,213
0,67,230
0,14,35
0,12746,21377
0,32218,46639
0,22451,33019
0,38,94
0,10409,16855
0,10098,16630
0,345,995
0,36,129
0,15411,24231
0,1748,3268
0,18259,26569
0,59,126
0,4364,8158
0,88143,107064
0,36926,44655
0,31728,45842
0,72,232
0,22,58
0,34166,48176
0,28432,41305
0,8644,14613
0,19,45
0,26,112
0,446,1596
0,44,155
0,23669,33552
0,32308,41739
0,38665,52779
0,341,1219
0,229,888
0,29,73
0,35590,47047
0,129,432
0,22,53
0,364,1453
0,16669,27157
0,23760,33741
0,33715,47301
0,252,738
0,54,179
0,402,1694
0,43941,59468
0,3318,5973
0,2350,5963
0,32,86
0,130,463
0,33,106
0,7257,12723
0,119,315
0,273,1063
0,16,16
0,7545,12418
0,452,1930
0,17,79
