thread index,duration in microseconds,visited nodes
0,113477,60546
0,65069,58998
0,110,185
0,63,120
0,79682,66301
0,33493,34634
0,30290,17789
0,42,92
0,45994,23046
0,0,1
0,10,4
0,59965,45724
0,19965,19660
0,259,556
0,229,640
0,11988,12488
0,24676,25166
0,139,294
0,12387,13975
0,71,159
0,12414,15255
0,17381,19421
0,3085,4769
0,213,862
0,39,141
0,63,164
0,167,470
0,25279,26282
0,6383,9403
0,66143,65131
0,36415,32413
0,74,159
0,999,3122
0,121773,98263
0,10498,13543
0,18329,20653
0,46262,46595
0,19981,21658
0,481,1190
0,29,98
0,672,2061
0,1022,3474
0,12231,16437
0,36416,38280
0,50698,47888
0,35,54
0,31630,29215
0,18890,20622
0,4455,3598
0,13,17
0,318,824
0,50589,44935
0,107,177
0,1011,2674
0,8766,12475
0,67848,55807
0,10391,9968
0,120,265
0,153,367
0,16310,19110
0,88719,78807
0,13534,13921
0,8936,8404
0,31,46
0,30,58
0,58,121
0,534,1800
0,57854,47457
0,47552,40614
0,14,21
0,236,478
0,116,306
0,27716,30613
0,25147,27948
0,89305,77466
0,1,1
0,36637,39647
0,50784,47962
0,23,36
0,357,816
0,1493,4965
0,215,898
0,47,148
0,58,199
0,28,87
0,33,89
0,104529,98386
0,10319,12241
0,12725,13252
0,939,2402
0,769,2390
0,24376,25546
0,272,748
0,23,56
0,669,2542
0,48310,52771
0,52471,51889
0,90,170
0,48512,52378
0,7240,7538
0,16618,19030
0,81,141
0,208248,114353
0,27261,29446
0,91,150
0,25176,31200
0,176,334
0,112,285
0,22,74
0,6537,9975
0,104226,57779
0,847,2330
0,214596,76375
0,17,21
0,3749,902
0,69976,26949
0,204235,80124
0,51297,46520
0,120,215
0,1301,4480
0,60,149
0,62,177
0,40351,26593
0,458,1057
0,21011,12011
0,460,952
0,57094,26019
0,47900,21903
0,26283,13546
0,51394,57206
0,33685,38976
0,1713,5608
0,29,73
0,225,708
0,13079,17270
0,257,582
0,231,798
0,41,101
0,46001,58603
0,54,77
0,139,267
0,0,1
0,12350,17690
0,17769,23212
0,49,88
0,36335,44086
0,6091,9055
0,22641,28939
0,34,58
0,5064,8103
0,25,49
0,56446,56481
0,139,239
0,19645,18636
0,22174,23489
0,119600,109903
0,8663,1641
0,105300,99957
0,8893,12725
0,7987,11092
0,19417,26616
0,514,1291
0,10937,15859
0,42278,33596
0,1788,5772
0,31972,18863
0,43,98
0,45,89
0,43015,54898
0,31182,38459
0,267,513
0,81,227
0,49047,44759
0,26434,33404
0,2151,3576
0,36384,20226
0,8449,7112
0,5348,3935
0,0,1
0,49544,22544
0,57908,18121
0,22,45
0,153,328
0,110875,55548
0,15174,19106
0,13,23
0,5704,9286
0,44036,44540
0,119560,112236
0,1160,3803
0,14,27
0,6504,10077
0,14,28
0,50080,57282
0,73,112
0,41273,44147
0,14910,15352
0,42355,45057
0,72,138
0,39,84
0,43,93
0,16,32
0,302,732
0,17,39
0,108552,108332
0,10391,13970
0,49,99
0,16282,22072
0,59,108
0,16511,23145
0,40,83
0,27,43
0,72,142
0,453,1276
0,50066,50701
0,31645,42397
0,47992,47841
0,1067,2682
0,35317,44509
0,22612,25462
0,45,77
0,2571,1077
0,79,213
0,105,230
0,20,35
0,23439,21462
0,52227,47445
0,27061,33339
0,55,94
0,20632,16998
0,28832,16728
0,437,995
0,52,129
0,33027,23967
0,1981,3268
0,19799,26903
0,74,126
0,5605,8303
0,127843,112866
0,46106,45683
0,41562,46596
0,124,232
0,28,58
0,48029,48825
0,45907,41642
0,17701,14613
0,29,45
0,52,112
0,696,1596
0,63,155
0,38754,34915
0,41206,43085
0,44109,53561
0,539,1219
0,234,888
0,34,73
0,41636,48341
0,200,432
0,25,53
0,459,1453
0,21212,27280
0,26577,33993
0,55576,47868
0,332,738
0,80,179
0,476,1694
0,52141,63826
0,3757,5975
0,3193,5968
0,42,86
0,167,463
0,46,106
0,8691,12731
0,154,315
0,351,1063
0,17,16
0,8448,12531
0,675,1930
0,32,79
0,9,18
0,8656,12377
0,106,232
0,48,100
0,25155,35798
0,514,1276
0,17488,21652
0,8496,11624
0,18570,23284
0,424,746
0,80136,83491
0,47,75
0,998,2356
0,511,1406
0,48,134
0,11195,15419
0,61845,63737
0,769,2150
0,102,252
0,87,229
0,13069,18073
0,520,1520
0,0,1
0,370,1175
0,93,258
0,226,719
0,9370,15227
0,40,74
0,2411,4128
0,0,1
0,9020,13363
0,14614,18814
0,43001,44705
0,138,290
0,25,68
0,250,813
0,63,165
0,11473,17408
0,1689,5487
0,28,89
0,0,1
0,45383,52597
0,12922,18996
0,9322,13758
0,363,906
0,30411,37282
0,11557,15635
0,84,172
0,1054,2665
0,39,80
0,48760,56014
0,23080,28143
0,840,2444
0,442,1400
0,15542,20793
0,139,221
0,19139,26932
0,41865,44013
0,31700,40204
0,69,119
0,38971,46103
0,62684,71893
0,310,353
0,114,267
0,28254,32572
0,110,207
0,46642,52898
0,17,24
0,121,255
0,17252,21557
0,57500,65342
0,22798,28587
0,36280,42102
0,1292,3231
0,8035,11233
0,15672,19701
0,544,1721
0,8,16
0,25661,32399
0,36664,41730
0,10514,13852
0,0,1
0,5,9
0,34,52
0,90745,81298
0,49,62
0,54,94
0,34,57
0,5650,9034
0,18697,25216
0,28,38
0,87,157
0,348,753
0,73975,78010
0,13356,17106
0,67,141
0,30807,34196
0,4,6
0,1936,4717
0,44789,50755
0,9457,12404
0,38883,47090
0,242,463
0,40818,49222
0,68,105
0,3517,284
0,134697,83838
0,46,62
0,26,58
0,10456,14806
0,37336,45152
0,62,103
0,176,343
0,41,87
0,0,1
0,28258,33023
0,19360,22974
0,172,395
0,66691,71389
0,61184,68191
0,39124,46380
0,53,78
0,22438,27419
0,45602,51038
0,35317,39937
0,26,55
0,65,114
0,53721,62952
0,47392,52271
0,45539,46793
0,132,244
0,16529,19971
0,18431,24125
0,16,13
0,40,87
0,10,18
0,42,80
0,183,411
0,57,141
0,13,32
0,8,6
0,48795,53857
0,48542,51125
0,4757,6585
0,62,204
0,82572,74021
0,11,22
0,19,26
0,5813,8610
0,67227,67972
0,60,98
0,827,2766
0,22296,26701
0,103,192
0,118724,112253
0,44075,46641
0,47991,48116
0,45272,45942
0,43,59
0,111975,102303
0,4,6
0,25,36
0,55944,53865
0,83,118
0,735,2076
0,93,359
0,35880,39305
0,180,407
0,40855,48604
0,806,2403
0,214,577
0,656,2262
0,102,275
0,47,172
0,25901,30944
0,10095,12981
0,234,616
0,3420,5157
0,37,89
0,1136,3562
0,45984,53572
0,34187,37278
0,52,36
0,91172,99057
0,96,164
0,36950,42462
0,22465,26607
0,110,223
0,20221,24796
0,1489,4649
0,10820,13964
0,13138,15170
0,72,122
0,127,264
0,31,64
0,354,1016
0,434,1265
0,51,116
0,53978,60816
0,11528,15258
0,14240,21320
0,29723,37157
0,101,173
0,14772,20118
0,77,147
0,41118,50101
0,3814,5768
0,48215,53620
0,5578,8283
0,95,215
0,16,27
0,72,180
0,44821,50527
0,56,98
0,15467,21209
0,53,94
0,120,234
0,63,127
0,72,168
0,1047,3290
0,8,16
1,37958,16681
1,126,200
1,32,53
1,8049,9798
1,11141,12613
1,19711,17761
1,768,916
1,116741,81930
1,30,48
1,296,816
1,80347,64612
1,797,1154
1,31,69
1,13067,17331
1,12202,14898
1,1212,3310
1,2,5
1,46270,47131
1,138401,101129
1,77,90
1,104244,40999
1,75691,81601
1,5699,8761
1,2766,4397
1,38905,42781
1,569,1172
1,51,121
1,69,184
1,32196,35585
1,20,32
1,60,98
1,14002,18794
1,24198,24171
1,215011,93768
1,89,158
1,0,1
1,69,133
1,11,22
1,23095,30525
1,48,90
1,47102,55276
1,83,155
1,5584,8960
1,3325,5569
1,36806,43495
1,0,1
1,7625,11890
1,34000,43621
1,1042,2837
1,360,1195
1,60,123
1,19122,24952
1,22489,28058
1,288,844
1,241,863
1,38,136
1,2550,4473
1,12814,19636
1,34120,39654
1,226697,93948
1,48,76
1,25419,21439
1,43,45
1,44131,47541
1,62,112
1,40,87
1,15216,22150
1,2230,4720
1,12577,17341
1,22534,18952
1,89722,41259
1,20258,26899
1,828,2400
1,0,1
1,1432,5141
1,25,33
1,94089,53149
1,49,78
1,125,248
1,4027,6307
1,39242,44152
1,50432,64122
1,959,2062
1,132,343
1,46407,26042
1,299,625
1,2009,698
1,143,396
1,84,272
1,65,159
1,116,317
1,46195,53803
1,7030,9704
1,8479,12276
1,55675,65065
1,415,906
1,26584,34639
1,66,113
1,29050,25033
1,160,318
1,65087,73210
1,375,763
1,31938,45125
1,79498,74688
1,63,100
1,44,84
1,107,229
1,58,164
1,268,642
1,36769,45760
1,19,35
1,151,367
1,18041,25796
1,0,1
1,28,53
1,46235,53529
1,4,3
1,63,109
1,28005,40759
1,81,139
1,28,48
1,10328,13024
1,50,100
1,13165,16922
1,27572,31956
1,99385,89156
1,5247,7001
1,49404,57128
1,94,153
1,33,58
1,35,62
1,636,1901
1,17576,25377
1,101311,103397
1,22638,28845
1,0,1
1,67,127
1,42093,42834
1,5554,8486
1,325,832
1,102,281
1,34702,42098
1,9687,13687
1,36,103
1,19354,27966
1,3542,5579
1,1,1
